# format: as|source|type
# date: 20150802
# name: as2type
# exe: type-convert-amogh.pl
# files: /project/as2org/20150801/asclass/exp-sets/20150801.merged.class.txt
# types: Content|Enterpise|Transit/Access
395|CAIDA_class|Transit/Access
400|CAIDA_class|Enterpise
409|CAIDA_class|Transit/Access
412|CAIDA_class|Transit/Access
427|CAIDA_class|Transit/Access
440|CAIDA_class|Transit/Access
444|CAIDA_class|Transit/Access
450|CAIDA_class|Transit/Access
466|CAIDA_class|Transit/Access
472|CAIDA_class|Enterpise
477|CAIDA_class|Enterpise
491|CAIDA_class|Transit/Access
495|CAIDA_class|Transit/Access
497|CAIDA_class|Transit/Access
509|CAIDA_class|Enterpise
510|CAIDA_class|Enterpise
511|CAIDA_class|Enterpise
513|CAIDA_class|Transit/Access
517|CAIDA_class|Enterpise
518|CAIDA_class|Transit/Access
523|CAIDA_class|Transit/Access
527|CAIDA_class|Enterpise
539|CAIDA_class|Transit/Access
543|CAIDA_class|Enterpise
545|CAIDA_class|Transit/Access
546|CAIDA_class|Transit/Access
547|CAIDA_class|Enterpise
549|CAIDA_class|Transit/Access
553|CAIDA_class|Transit/Access
555|CAIDA_class|Enterpise
557|CAIDA_class|Transit/Access
558|peerDB_class|Transit/Access
559|CAIDA_class|Transit/Access
560|CAIDA_class|Transit/Access
565|CAIDA_class|Transit/Access
566|CAIDA_class|Enterpise
567|CAIDA_class|Transit/Access
571|CAIDA_class|Transit/Access
572|CAIDA_class|Enterpise
575|CAIDA_class|Enterpise
577|peerDB_class|Transit/Access
578|manual_class|Enterpise
579|CAIDA_class|Enterpise
589|CAIDA_class|Transit/Access
594|CAIDA_class|Transit/Access
598|CAIDA_class|Enterpise
600|CAIDA_class|Transit/Access
603|CAIDA_class|Content
605|CAIDA_class|Enterpise
606|CAIDA_class|Transit/Access
607|CAIDA_class|Enterpise
609|CAIDA_class|Transit/Access
611|CAIDA_class|Transit/Access
612|CAIDA_class|Enterpise
613|CAIDA_class|Enterpise
615|CAIDA_class|Transit/Access
616|CAIDA_class|Enterpise
619|CAIDA_class|Enterpise
627|CAIDA_class|Transit/Access
637|CAIDA_class|Transit/Access
647|CAIDA_class|Transit/Access
655|CAIDA_class|Enterpise
664|CAIDA_class|Transit/Access
665|CAIDA_class|Transit/Access
668|CAIDA_class|Transit/Access
670|CAIDA_class|Transit/Access
671|CAIDA_class|Transit/Access
672|CAIDA_class|Transit/Access
673|CAIDA_class|Transit/Access
676|CAIDA_class|Enterpise
679|CAIDA_class|Transit/Access
680|CAIDA_class|Transit/Access
681|CAIDA_class|Transit/Access
683|CAIDA_class|Transit/Access
687|CAIDA_class|Transit/Access
688|CAIDA_class|Transit/Access
693|CAIDA_class|Transit/Access
698|CAIDA_class|Transit/Access
699|CAIDA_class|Transit/Access
701|peerDB_class|Transit/Access
702|peerDB_class|Transit/Access
703|peerDB_class|Transit/Access
705|CAIDA_class|Enterpise
706|CAIDA_class|Enterpise
714|peerDB_class|Content
715|CAIDA_class|Enterpise
719|CAIDA_class|Transit/Access
721|CAIDA_class|Transit/Access
722|CAIDA_class|Enterpise
724|CAIDA_class|Transit/Access
745|CAIDA_class|Transit/Access
747|CAIDA_class|Transit/Access
760|CAIDA_class|Transit/Access
764|CAIDA_class|Transit/Access
766|CAIDA_class|Transit/Access
768|CAIDA_class|Transit/Access
771|CAIDA_class|Transit/Access
773|CAIDA_class|Enterpise
775|CAIDA_class|Transit/Access
776|CAIDA_class|Transit/Access
777|CAIDA_class|Transit/Access
779|CAIDA_class|Transit/Access
781|CAIDA_class|Enterpise
784|CAIDA_class|Enterpise
786|CAIDA_class|Transit/Access
789|CAIDA_class|Transit/Access
790|CAIDA_class|Transit/Access
792|CAIDA_class|Enterpise
793|CAIDA_class|Enterpise
794|CAIDA_class|Transit/Access
797|CAIDA_class|Transit/Access
802|CAIDA_class|Transit/Access
803|peerDB_class|Transit/Access
806|CAIDA_class|Transit/Access
808|CAIDA_class|Transit/Access
812|peerDB_class|Transit/Access
813|CAIDA_class|Transit/Access
818|CAIDA_class|Transit/Access
819|CAIDA_class|Transit/Access
822|CAIDA_class|Transit/Access
823|CAIDA_class|Transit/Access
825|CAIDA_class|Transit/Access
841|CAIDA_class|Transit/Access
852|peerDB_class|Transit/Access
855|peerDB_class|Transit/Access
940|CAIDA_class|Transit/Access
1000|CAIDA_class|Enterpise
1077|CAIDA_class|Enterpise
1101|CAIDA_class|Transit/Access
1102|CAIDA_class|Enterpise
1103|CAIDA_class|Transit/Access
1104|CAIDA_class|Transit/Access
1109|CAIDA_class|Transit/Access
1110|CAIDA_class|Transit/Access
1111|CAIDA_class|Transit/Access
1112|CAIDA_class|Enterpise
1113|CAIDA_class|Transit/Access
1114|CAIDA_class|Transit/Access
1117|CAIDA_class|Transit/Access
1120|CAIDA_class|Transit/Access
1124|manual_class|Enterpise
1125|CAIDA_class|Transit/Access
1126|peerDB_class|Transit/Access
1128|CAIDA_class|Transit/Access
1132|CAIDA_class|Enterpise
1133|CAIDA_class|Transit/Access
1134|CAIDA_class|Transit/Access
1136|peerDB_class|Transit/Access
1140|CAIDA_class|Transit/Access
1142|CAIDA_class|Content
1145|CAIDA_class|Transit/Access
1147|CAIDA_class|Enterpise
1161|CAIDA_class|Transit/Access
1197|CAIDA_class|Transit/Access
1201|CAIDA_class|Transit/Access
1202|CAIDA_class|Transit/Access
1204|CAIDA_class|Enterpise
1205|CAIDA_class|Transit/Access
1206|CAIDA_class|Transit/Access
1207|CAIDA_class|Transit/Access
1208|CAIDA_class|Transit/Access
1213|CAIDA_class|Transit/Access
1215|CAIDA_class|Transit/Access
1217|CAIDA_class|Enterpise
1221|CAIDA_class|Transit/Access
1222|CAIDA_class|Enterpise
1224|CAIDA_class|Transit/Access
1226|CAIDA_class|Transit/Access
1234|CAIDA_class|Enterpise
1236|manual_class|Enterpise
1237|CAIDA_class|Transit/Access
1239|peerDB_class|Transit/Access
1241|peerDB_class|Transit/Access
1245|CAIDA_class|Transit/Access
1246|CAIDA_class|Transit/Access
1248|peerDB_class|Enterpise
1249|CAIDA_class|Transit/Access
1251|CAIDA_class|Transit/Access
1252|CAIDA_class|Transit/Access
1254|CAIDA_class|Transit/Access
1257|peerDB_class|Transit/Access
1258|CAIDA_class|Enterpise
1261|CAIDA_class|Transit/Access
1267|peerDB_class|Transit/Access
1273|peerDB_class|Transit/Access
1277|CAIDA_class|Transit/Access
1280|CAIDA_class|Transit/Access
1286|CAIDA_class|Enterpise
1287|CAIDA_class|Enterpise
1289|CAIDA_class|Transit/Access
1290|peerDB_class|Transit/Access
1293|CAIDA_class|Enterpise
1294|CAIDA_class|Content
1295|CAIDA_class|Enterpise
1297|CAIDA_class|Enterpise
1299|peerDB_class|Transit/Access
1301|CAIDA_class|Enterpise
1303|CAIDA_class|Transit/Access
1307|CAIDA_class|Transit/Access
1311|CAIDA_class|Enterpise
1312|CAIDA_class|Transit/Access
1313|CAIDA_class|Enterpise
1315|CAIDA_class|Enterpise
1316|manual_class|Enterpise
1324|CAIDA_class|Enterpise
1325|CAIDA_class|Enterpise
1326|CAIDA_class|Transit/Access
1328|CAIDA_class|Transit/Access
1331|CAIDA_class|Transit/Access
1333|CAIDA_class|Enterpise
1341|CAIDA_class|Enterpise
1342|CAIDA_class|Content
1343|CAIDA_class|Transit/Access
1347|CAIDA_class|Transit/Access
1348|CAIDA_class|Enterpise
1350|CAIDA_class|Enterpise
1351|CAIDA_class|Transit/Access
1355|CAIDA_class|Enterpise
1358|CAIDA_class|Enterpise
1378|CAIDA_class|Transit/Access
1379|CAIDA_class|Transit/Access
1380|CAIDA_class|Enterpise
1395|CAIDA_class|Transit/Access
1396|CAIDA_class|Enterpise
1397|CAIDA_class|Enterpise
1398|CAIDA_class|Enterpise
1399|CAIDA_class|Enterpise
1400|CAIDA_class|Enterpise
1401|CAIDA_class|Enterpise
1402|CAIDA_class|Enterpise
1403|peerDB_class|Transit/Access
1404|CAIDA_class|Enterpise
1405|CAIDA_class|Enterpise
1406|peerDB_class|Content
1407|CAIDA_class|Enterpise
1408|peerDB_class|Content
1409|CAIDA_class|Transit/Access
1410|CAIDA_class|Transit/Access
1411|CAIDA_class|Transit/Access
1412|CAIDA_class|Transit/Access
1414|CAIDA_class|Enterpise
1415|CAIDA_class|Enterpise
1416|CAIDA_class|Enterpise
1418|CAIDA_class|Enterpise
1419|CAIDA_class|Enterpise
1420|CAIDA_class|Enterpise
1421|CAIDA_class|Transit/Access
1422|peerDB_class|Enterpise
1423|CAIDA_class|Transit/Access
1426|CAIDA_class|Transit/Access
1427|CAIDA_class|Transit/Access
1428|CAIDA_class|Enterpise
1429|CAIDA_class|Enterpise
1430|CAIDA_class|Enterpise
1432|CAIDA_class|Transit/Access
1433|CAIDA_class|Enterpise
1434|CAIDA_class|Enterpise
1435|CAIDA_class|Enterpise
1436|CAIDA_class|Enterpise
1437|CAIDA_class|Enterpise
1438|CAIDA_class|Transit/Access
1439|CAIDA_class|Enterpise
1440|manual_class|Enterpise
1442|CAIDA_class|Content
1443|CAIDA_class|Enterpise
1444|CAIDA_class|Enterpise
1445|CAIDA_class|Enterpise
1446|CAIDA_class|Enterpise
1447|CAIDA_class|Enterpise
1449|CAIDA_class|Enterpise
1451|CAIDA_class|Transit/Access
1452|CAIDA_class|Transit/Access
1453|CAIDA_class|Transit/Access
1455|CAIDA_class|Transit/Access
1456|CAIDA_class|Transit/Access
1457|CAIDA_class|Transit/Access
1458|CAIDA_class|Transit/Access
1460|CAIDA_class|Transit/Access
1461|CAIDA_class|Transit/Access
1462|CAIDA_class|Transit/Access
1463|CAIDA_class|Transit/Access
1464|CAIDA_class|Transit/Access
1466|CAIDA_class|Transit/Access
1467|manual_class|Enterpise
1468|CAIDA_class|Transit/Access
1471|CAIDA_class|Transit/Access
1472|CAIDA_class|Transit/Access
1474|CAIDA_class|Transit/Access
1475|CAIDA_class|Transit/Access
1476|CAIDA_class|Transit/Access
1477|CAIDA_class|Transit/Access
1479|CAIDA_class|Transit/Access
1480|CAIDA_class|Transit/Access
1482|CAIDA_class|Transit/Access
1483|CAIDA_class|Transit/Access
1484|CAIDA_class|Transit/Access
1489|CAIDA_class|Transit/Access
1490|CAIDA_class|Transit/Access
1491|CAIDA_class|Transit/Access
1494|CAIDA_class|Transit/Access
1495|CAIDA_class|Transit/Access
1498|CAIDA_class|Transit/Access
1500|CAIDA_class|Transit/Access
1501|CAIDA_class|Transit/Access
1502|CAIDA_class|Transit/Access
1503|CAIDA_class|Transit/Access
1504|CAIDA_class|Transit/Access
1505|CAIDA_class|Transit/Access
1506|CAIDA_class|Transit/Access
1509|CAIDA_class|Transit/Access
1510|CAIDA_class|Transit/Access
1511|CAIDA_class|Transit/Access
1515|CAIDA_class|Transit/Access
1516|CAIDA_class|Transit/Access
1519|CAIDA_class|Transit/Access
1524|CAIDA_class|Transit/Access
1525|CAIDA_class|Transit/Access
1526|CAIDA_class|Transit/Access
1527|CAIDA_class|Transit/Access
1528|CAIDA_class|Transit/Access
1531|CAIDA_class|Transit/Access
1533|CAIDA_class|Transit/Access
1535|CAIDA_class|Transit/Access
1539|manual_class|Enterpise
1547|peerDB_class|Transit/Access
1551|CAIDA_class|Transit/Access
1553|CAIDA_class|Enterpise
1554|CAIDA_class|Transit/Access
1555|CAIDA_class|Transit/Access
1556|CAIDA_class|Transit/Access
1559|CAIDA_class|Transit/Access
1562|CAIDA_class|Transit/Access
1563|CAIDA_class|Transit/Access
1565|CAIDA_class|Transit/Access
1567|CAIDA_class|Transit/Access
1568|CAIDA_class|Transit/Access
1569|CAIDA_class|Transit/Access
1580|CAIDA_class|Transit/Access
1582|CAIDA_class|Transit/Access
1585|CAIDA_class|Transit/Access
1586|CAIDA_class|Transit/Access
1590|CAIDA_class|Transit/Access
1591|manual_class|Enterpise
1598|CAIDA_class|Transit/Access
1599|CAIDA_class|Transit/Access
1600|CAIDA_class|Transit/Access
1602|CAIDA_class|Transit/Access
1603|CAIDA_class|Transit/Access
1605|CAIDA_class|Enterpise
1606|CAIDA_class|Transit/Access
1608|CAIDA_class|Enterpise
1609|CAIDA_class|Enterpise
1610|CAIDA_class|Content
1611|CAIDA_class|Enterpise
1612|CAIDA_class|Enterpise
1613|CAIDA_class|Enterpise
1614|CAIDA_class|Enterpise
1615|CAIDA_class|Enterpise
1616|CAIDA_class|Transit/Access
1617|CAIDA_class|Enterpise
1618|CAIDA_class|Enterpise
1619|CAIDA_class|Enterpise
1620|CAIDA_class|Enterpise
1621|CAIDA_class|Enterpise
1622|CAIDA_class|Enterpise
1623|CAIDA_class|Transit/Access
1624|CAIDA_class|Enterpise
1625|CAIDA_class|Transit/Access
1628|CAIDA_class|Enterpise
1629|manual_class|Enterpise
1632|CAIDA_class|Enterpise
1633|CAIDA_class|Enterpise
1634|CAIDA_class|Transit/Access
1635|CAIDA_class|Enterpise
1636|CAIDA_class|Enterpise
1637|CAIDA_class|Transit/Access
1638|CAIDA_class|Enterpise
1640|CAIDA_class|Transit/Access
1641|CAIDA_class|Enterpise
1642|manual_class|Enterpise
1643|CAIDA_class|Transit/Access
1645|peerDB_class|Enterpise
1646|CAIDA_class|Enterpise
1647|CAIDA_class|Enterpise
1648|CAIDA_class|Transit/Access
1649|CAIDA_class|Transit/Access
1650|CAIDA_class|Transit/Access
1651|CAIDA_class|Transit/Access
1652|CAIDA_class|Enterpise
1653|CAIDA_class|Transit/Access
1654|CAIDA_class|Enterpise
1655|CAIDA_class|Transit/Access
1657|CAIDA_class|Transit/Access
1659|CAIDA_class|Transit/Access
1661|CAIDA_class|Enterpise
1663|CAIDA_class|Transit/Access
1668|peerDB_class|Transit/Access
1672|CAIDA_class|Transit/Access
1675|CAIDA_class|Transit/Access
1676|manual_class|Enterpise
1678|CAIDA_class|Enterpise
1680|peerDB_class|Transit/Access
1685|CAIDA_class|Enterpise
1689|CAIDA_class|Enterpise
1695|CAIDA_class|Enterpise
1696|CAIDA_class|Enterpise
1698|CAIDA_class|Transit/Access
1699|CAIDA_class|Transit/Access
1701|CAIDA_class|Enterpise
1702|manual_class|Enterpise
1704|CAIDA_class|Transit/Access
1705|manual_class|Enterpise
1706|CAIDA_class|Transit/Access
1708|CAIDA_class|Enterpise
1709|CAIDA_class|Enterpise
1712|CAIDA_class|Transit/Access
1715|CAIDA_class|Transit/Access
1723|CAIDA_class|Transit/Access
1725|CAIDA_class|Transit/Access
1729|CAIDA_class|Transit/Access
1730|CAIDA_class|Transit/Access
1731|CAIDA_class|Enterpise
1733|CAIDA_class|Transit/Access
1734|CAIDA_class|Transit/Access
1736|CAIDA_class|Transit/Access
1738|CAIDA_class|Enterpise
1739|CAIDA_class|Transit/Access
1741|CAIDA_class|Transit/Access
1742|CAIDA_class|Transit/Access
1746|CAIDA_class|Enterpise
1747|CAIDA_class|Enterpise
1749|CAIDA_class|Transit/Access
1751|CAIDA_class|Enterpise
1754|CAIDA_class|Transit/Access
1756|CAIDA_class|Transit/Access
1757|CAIDA_class|Content
1759|CAIDA_class|Transit/Access
1761|CAIDA_class|Transit/Access
1764|peerDB_class|Transit/Access
1766|CAIDA_class|Content
1767|CAIDA_class|Transit/Access
1770|CAIDA_class|Enterpise
1771|CAIDA_class|Transit/Access
1776|CAIDA_class|Transit/Access
1777|CAIDA_class|Enterpise
1778|CAIDA_class|Transit/Access
1781|CAIDA_class|Transit/Access
1782|CAIDA_class|Enterpise
1783|CAIDA_class|Enterpise
1785|peerDB_class|Transit/Access
1789|CAIDA_class|Transit/Access
1790|CAIDA_class|Transit/Access
1796|CAIDA_class|Enterpise
1797|CAIDA_class|Transit/Access
1798|CAIDA_class|Transit/Access
1803|CAIDA_class|Enterpise
1810|CAIDA_class|Enterpise
1811|CAIDA_class|Transit/Access
1813|CAIDA_class|Enterpise
1814|CAIDA_class|Enterpise
1815|CAIDA_class|Enterpise
1818|CAIDA_class|Transit/Access
1819|CAIDA_class|Transit/Access
1821|CAIDA_class|Enterpise
1823|CAIDA_class|Enterpise
1824|CAIDA_class|Enterpise
1825|CAIDA_class|Enterpise
1826|CAIDA_class|Transit/Access
1827|CAIDA_class|Transit/Access
1828|peerDB_class|Enterpise
1830|CAIDA_class|Transit/Access
1831|CAIDA_class|Transit/Access
1832|manual_class|Enterpise
1835|CAIDA_class|Transit/Access
1836|peerDB_class|Transit/Access
1837|CAIDA_class|Enterpise
1838|CAIDA_class|Transit/Access
1840|CAIDA_class|Transit/Access
1842|CAIDA_class|Transit/Access
1843|CAIDA_class|Transit/Access
1849|CAIDA_class|Enterpise
1850|peerDB_class|Enterpise
1851|CAIDA_class|Transit/Access
1852|CAIDA_class|Enterpise
1853|CAIDA_class|Transit/Access
1873|CAIDA_class|Enterpise
1879|CAIDA_class|Enterpise
1880|CAIDA_class|Transit/Access
1881|CAIDA_class|Transit/Access
1885|CAIDA_class|Enterpise
1886|CAIDA_class|Transit/Access
1887|CAIDA_class|Transit/Access
1888|CAIDA_class|Transit/Access
1889|manual_class|Enterpise
1898|CAIDA_class|Enterpise
1901|CAIDA_class|Transit/Access
1904|CAIDA_class|Transit/Access
1906|CAIDA_class|Transit/Access
1909|CAIDA_class|Transit/Access
1913|CAIDA_class|Transit/Access
1916|CAIDA_class|Transit/Access
1921|CAIDA_class|Enterpise
1929|CAIDA_class|Enterpise
1930|CAIDA_class|Transit/Access
1931|CAIDA_class|Transit/Access
1932|CAIDA_class|Enterpise
1935|CAIDA_class|Transit/Access
1936|CAIDA_class|Transit/Access
1938|CAIDA_class|Transit/Access
1942|CAIDA_class|Transit/Access
1945|CAIDA_class|Transit/Access
1948|CAIDA_class|Transit/Access
1955|CAIDA_class|Transit/Access
1956|CAIDA_class|Enterpise
1959|CAIDA_class|Transit/Access
1965|CAIDA_class|Enterpise
1967|CAIDA_class|Transit/Access
1968|CAIDA_class|Transit/Access
1970|CAIDA_class|Transit/Access
1972|CAIDA_class|Enterpise
1975|CAIDA_class|Enterpise
1982|peerDB_class|Transit/Access
1996|CAIDA_class|Enterpise
1998|CAIDA_class|Transit/Access
1999|CAIDA_class|Enterpise
2003|CAIDA_class|Transit/Access
2011|CAIDA_class|Enterpise
2012|CAIDA_class|Transit/Access
2013|CAIDA_class|Enterpise
2015|CAIDA_class|Transit/Access
2018|CAIDA_class|Transit/Access
2020|CAIDA_class|Enterpise
2021|CAIDA_class|Transit/Access
2024|CAIDA_class|Transit/Access
2025|CAIDA_class|Transit/Access
2027|CAIDA_class|Enterpise
2031|CAIDA_class|Enterpise
2033|CAIDA_class|Transit/Access
2035|CAIDA_class|Enterpise
2036|CAIDA_class|Transit/Access
2037|CAIDA_class|Transit/Access
2042|peerDB_class|Transit/Access
2043|CAIDA_class|Transit/Access
2044|peerDB_class|Transit/Access
2046|CAIDA_class|Transit/Access
2047|CAIDA_class|Enterpise
2048|CAIDA_class|Transit/Access
2050|CAIDA_class|Transit/Access
2055|CAIDA_class|Transit/Access
2060|CAIDA_class|Transit/Access
2065|CAIDA_class|Transit/Access
2072|CAIDA_class|Transit/Access
2088|CAIDA_class|Transit/Access
2089|CAIDA_class|Transit/Access
2094|CAIDA_class|Transit/Access
2107|CAIDA_class|Transit/Access
2108|CAIDA_class|Transit/Access
2109|manual_class|Enterpise
2110|peerDB_class|Transit/Access
2111|CAIDA_class|Transit/Access
2114|CAIDA_class|Enterpise
2115|CAIDA_class|Enterpise
2116|peerDB_class|Transit/Access
2118|CAIDA_class|Transit/Access
2119|peerDB_class|Transit/Access
2121|CAIDA_class|Transit/Access
2127|CAIDA_class|Enterpise
2128|CAIDA_class|Transit/Access
2129|CAIDA_class|Enterpise
2134|peerDB_class|Enterpise
2140|CAIDA_class|Content
2143|CAIDA_class|Transit/Access
2146|CAIDA_class|Transit/Access
2147|CAIDA_class|Transit/Access
2148|CAIDA_class|Enterpise
2149|CAIDA_class|Enterpise
2152|CAIDA_class|Transit/Access
2153|CAIDA_class|Transit/Access
2154|CAIDA_class|Enterpise
2156|CAIDA_class|Transit/Access
2158|CAIDA_class|Content
2159|CAIDA_class|Content
2161|CAIDA_class|Enterpise
2162|CAIDA_class|Enterpise
2164|CAIDA_class|Enterpise
2166|CAIDA_class|Transit/Access
2167|CAIDA_class|Enterpise
2168|CAIDA_class|Enterpise
2173|CAIDA_class|Enterpise
